114.853735    0.000000 0.987688 0.156433     -135.000000 15.266176 28.319416
281.582092    -0.000000 0.987688 0.156435     -120.000000 15.918755 24.199188
21.829178    0.000000 0.987688 0.156435     -135.000000 16.235524 22.199187
144.899255    0.000000 0.987688 0.156435     -135.000000 16.621926 19.759547
51.557370    -0.000000 0.891007 0.453990     -135.000000 17.304501 16.958758
281.582022    -0.000000 0.891007 0.453990     -120.000000 19.198361 13.241848
90.848657    0.000000 0.891006 0.453991     -135.000000 20.156153 11.362074
97.200449    -0.000000 0.891007 0.453990     -135.000000 21.420930 8.879808
41.975545    0.000000 0.891006 0.453991     -135.000000 22.356998 7.042671
34.452631    0.000000 0.707107 0.707107     -143.120158 24.213106 4.914801
75.116505    -0.000000 0.707107 0.707106     -128.120158 23.426211 5.701695
40.663842    -0.000000 0.707107 0.707107     -113.120158 24.213106 4.914801
25.038824    0.000000 0.707107 0.707107     -100.000000 24.213106 4.914800
116.847946    -0.000000 0.707107 0.707106     -76.666667 23.426211 5.701694
34.452649    -0.000000 0.707107 0.707106     -64.786827 24.213106 4.914799
57.356403    -0.000000 0.707107 0.707107     -46.453494 24.213106 4.914800
8.346275    0.000001 0.707107 0.707107     -33.333333 24.213106 4.914800
116.847946    -0.000000 0.707107 0.707106     -10.000000 23.426211 5.701694
34.452647    -0.000000 0.707107 0.707106     -1.453494 24.213106 4.914799
8.346275    -0.000001 0.707107 0.707107     33.333333 24.213106 4.914800
65.702735    0.000000 0.707107 0.707106     18.546506 24.213106 4.914799
26.106345    0.000000 0.707107 0.707107     40.213173 24.213106 4.914800
116.847946    -0.000000 0.707107 0.707106     63.546506 23.426211 5.701694
65.702734    -0.000000 0.707107 0.707106     81.879840 24.213106 4.914799
25.038824    -0.000000 0.707107 0.707107     100.000000 24.213106 4.914800
9.413782    0.000001 0.707107 0.707107     106.879837 24.213106 4.914800
75.116537    -0.000000 0.707107 0.707106     121.879837 23.426211 5.701694
65.702747    0.000000 0.707107 0.707106     136.879837 24.213106 4.914799
139.175994    0.000000 0.891007 0.453990     135.000000 21.703249 8.325727
281.582022    -0.000000 0.891007 0.453990     120.000000 19.809389 12.042637
142.406027    -0.000000 0.891007 0.453990     135.000000 17.915529 15.759547
112.825197    0.000000 0.987688 0.156434     135.000000 16.696259 19.290226
281.582092    -0.000000 0.987688 0.156435     120.000000 16.043679 23.410453
32.074054    0.000000 0.987688 0.156435     135.000000 15.707868 25.530680
136.682738    -0.000000 0.987688 0.156434     135.000000 15.316767 28.000000
114.853888    -0.000000 0.987689 -0.156432     135.000000 15.266174 31.680590
281.582056    0.000000 0.987688 -0.156434     120.000000 15.918751 35.800819
21.828929    -0.000001 0.987687 -0.156442     135.000000 16.235520 37.800818
144.899314    0.000000 0.987688 -0.156434     135.000000 16.621922 40.240455
51.557370    0.000000 0.891007 -0.453990     135.000000 17.304497 43.041245
281.582083    0.000000 0.891006 -0.453991     120.000000 19.198358 46.758156
90.848577    0.000000 0.891007 -0.453990     135.000000 20.156150 48.637928
97.200591    0.000000 0.891006 -0.453991     135.000000 21.420928 51.120195
41.975545    0.000000 0.891006 -0.453991     135.000000 22.356998 52.957333
